taxon_id	parent_taxon_id	taxon_rank_id	epithet	author	year	code	vernacular_names	use_parentheses
6003677	2001255	12	Zygaeninae	Latreille	1809	urn:lsid:dyntaxa.se:Taxon:6003677		
6004010	2001256	12	Poecilocampinae	Stephens	1828	urn:lsid:dyntaxa.se:Taxon:6004010		
6004011	2001256	12	Lasiocampinae	Harris	1841	urn:lsid:dyntaxa.se:Taxon:6004011		
6004012	2001256	12	Malacosominae	Tutt	1902	urn:lsid:dyntaxa.se:Taxon:6004012		
6004013	2001259	12	Agliinae	Packard	1893	urn:lsid:dyntaxa.se:Taxon:6004013		
6004014	2001259	12	Saturniinae	Boisduval	1837	urn:lsid:dyntaxa.se:Taxon:6004014		
6004015	2001260	12	Smerinthinae	Hübner	1819	urn:lsid:dyntaxa.se:Taxon:6004015		
6004016	2001260	12	Sphinginae	Latreille	1802	urn:lsid:dyntaxa.se:Taxon:6004016		
6004017	2001260	12	Macroglossinae	Harris	1839	urn:lsid:dyntaxa.se:Taxon:6004017		
6004100	2001261	12	Thaumetopoeinae	Aurivillius	1889	urn:lsid:dyntaxa.se:Taxon:6004100		
6004101	2001261	12	Pygaerinae	Duponchel	1845	urn:lsid:dyntaxa.se:Taxon:6004101		
6004102	2001261	12	Notodontinae	Stephens	1829	urn:lsid:dyntaxa.se:Taxon:6004102		
6004105	2001261	12	Phalerinae	Butler	1886	urn:lsid:dyntaxa.se:Taxon:6004105		
6004106	2001261	12	Heterocampinae	Neumogen & Dyar	1894	urn:lsid:dyntaxa.se:Taxon:6004106		
2002918	2001265	12	Pantheinae	Smith	1898	urn:lsid:dyntaxa.se:Taxon:2002918		
6004644	2001265	12	Dilobinae	Aurivillius	1889	urn:lsid:dyntaxa.se:Taxon:6004644		
6004645	2001265	12	Acronictinae	Heinemann	1859	urn:lsid:dyntaxa.se:Taxon:6004645		
6004646	2001265	12	Plusiinae	Boisduval	1828	urn:lsid:dyntaxa.se:Taxon:6004646		
6004753	2001265	12	Eustrotiinae	Grote	1882	urn:lsid:dyntaxa.se:Taxon:6004753		
6004761	2001265	12	Metoponiinae	Herrich-Schäffer	1851	urn:lsid:dyntaxa.se:Taxon:6004761		
6004762	2001265	12	Acontiinae	Guenée	1841	urn:lsid:dyntaxa.se:Taxon:6004762		
